group,roles,coef,n,accuracy,correct,mean_output_tokens,sec,sec_per_sample
control,,0.0,300,0.9266666666666666,278,602.5266666666666,1845.5,6.152
critic,critic,40.0,300,0.9266666666666666,278,586.1966666666667,1760.8,5.869
critic,critic,80.0,300,0.9233333333333333,277,599.0366666666666,1744.0,5.813
refiner,refiner,40.0,300,0.9233333333333333,277,607.9066666666666,2012.8,6.709
refiner,refiner,80.0,300,0.9266666666666666,278,597.2133333333334,1942.0,6.473
judger,judger,40.0,300,0.92,276,622.8366666666667,1985.9,6.62
judger,judger,80.0,300,0.91,273,657.7366666666667,1910.0,6.367
upstream3,planner|critic|refiner,40.0,300,0.9233333333333333,277,602.2533333333333,1737.7,5.792
upstream3,planner|critic|refiner,80.0,300,0.9333333333333333,280,607.9666666666667,1824.1,6.08
all,planner|critic|refiner|judger,40.0,300,0.9266666666666666,278,627.2033333333334,1950.0,6.5
all,planner|critic|refiner|judger,80.0,300,0.92,276,678.0166666666667,2055.5,6.852
judger_generic,judger,40.0,300,0.9366666666666666,281,501.5833333333333,1494.3,4.981
judger_generic,judger,80.0,300,0.93,279,389.81333333333333,1189.5,3.965
