example_id,source,question,gold,k,correct,prediction,output_tokens,latency_sec,batch_latency_sec,latent_forwards,n_upstream,error,peak_gpu_mem_gb
0,medqa,"A 34-year-old man comes to the physician because of a 3-week history of colicky abdominal pain and diarrhea. He has bowel movements 10–12 times daily; the stool contains blood and mucus. He constantly has the urge to defecate. His vital signs are within normal limits. Examination of the abdomen shows diffuse tenderness to palpation. Serum concentration of C-reactive protein is 20 mg/L (N<10). Colonoscopy shows a bleeding, ulcerated rectal mucosa with several pseudopolyps. Which of the following is this patient at greatest risk of developing?
A. Hemolytic uremic syndrome
B. Oral ulcers
C. Colorectal cancer
D. Pancreatic cancer
Choose the correct option.",c,0,True,c,2367,55.48704922944307,55.48704922944307,3,3,,28.495712280273438
1,medqa,"A 38-year-old woman presents to her primary care physician for her yearly exam. Her only complaint is difficulty losing weight. Her BMI is 34 kg/m^2. In addition to a standard physical exam, the physician orders a glucose tolerance test. The woman's fasting blood glucose level is 120 mg/dL and two-hour post 75g glucose load blood glucose level is 190 mg/dL. The physician informs the patient that she is ""pre-diabetic"" or at risk of developing diabetes and recommends lifestyle modification with follow-up in 6 months. Which of the following endogenous signaling molecules or receptors will increase insulin sensitivity in this patient?
A. Catecholamines
B. Glucagon
C. Glucocorticoids
D. Peroxisome proliferator-activated receptor gamma
Choose the correct option.",d,0,True,d,1084,25.223006792366505,25.223006792366505,3,3,,28.495712280273438
2,medqa,"A 33-year-old man presents to the emergency department after a motor vehicle collision. He was the front seat unrestrained driver in a head-on collision. The patient has a Glasgow Coma Scale of 5 and is subsequently intubated. Physical exam is notable for subcutaneous emphysema in the clavicular area. Needle decompression and chest tube placement are performed, and the patient is stabilized after receiving 2 units of blood and 2 liters of fluid. Chest radiography demonstrates proper tube location and resolution of the pneumothorax. The patient is transferred to the trauma intensive care unit. On the unit, a repeat chest radiograph is notable for a recurrent pneumothorax with the chest tube in place. Which of the following is the most likely diagnosis?
A. Inappropriate chest tube placement
B. Spontaneous pneumothorax
C. Tension pneumothorax
D. Tracheobronchial rupture
Choose the correct option.",d,0,True,d,1042,24.287667758762836,24.287667758762836,3,3,,28.495712280273438
3,medqa,"A 45-year-old mechanic presents to the emergency department complaining of acute-onset shortness of breath while repairing a plowing tractor for his neighbor. The patient denies having any history of asthma or respiratory symptoms, and does not smoke. His temperature is 99.8°F (37.7°C), pulse is 65/min, blood pressure is 126/86 mmHg, and respirations are 20/min. His oxygen saturation is 97%. On exam, he is pale and diaphoretic. His pupils are contracted. Diffuse wheezes are noted in all lung fields. What is the best treatment for his condition?
A. Succinylcholine
B. Inhaled ipratropium and oxygen
C. Atropine and pralidoxime
D. Inhaled albuterol and oxygen
Choose the correct option.",c,0,True,c,1541,35.934117805212736,35.934117805212736,3,3,,28.495712280273438
4,medqa,"A 64-year-old man comes to the physician with a 1-week history of sore mouth. He says that swallowing is not painful. He has had asthma for more than 20 years. His only medication is a high-dose combination salmeterol/fluticasone inhaler. His temperature is 37.1°C (98.8°F), pulse is 74/min, respirations are 14/min, and blood pressure is 125/65 mm Hg. A photograph of his oral mucosa is shown. Indirect mirror examination of the posterior oropharynx, larynx, and hypopharynx shows no abnormalities. Which of the following is the most appropriate next step in management?
A. Fluconazole
B. Isotretinoin
C. Nystatin
D. Penicillin V
Choose the correct option.",c,0,True,c,1976,45.97637037187815,45.97637037187815,3,3,,28.495712280273438
5,medqa,"A 62-year-old man presents with episodes of palpitations for the past 3 weeks. He says that he has episodes where he feels his heart is ‘racing and pounding’, lasting 1–2 hours on average. Initially, he says the episodes would happen 1–2 times per week but now happen almost every day. This last episode has been constant for the past 2 days. He denies any seizure, loss of consciousness, dizziness, chest pain, or similar symptoms in the past. His past medical history is significant for an ischemic stroke of the right anterior cerebral artery 1 month ago, status post intravenous (IV) tissue plasminogen activator (tPA) with still some residual neurologic impairment, and long-standing gastroesophageal reflux secondary to a hiatal hernia, managed medically. The patient reports a 15-pack-year smoking history, but no alcohol or recreational drug use. The vital signs include: temperature 37.0°C (98.6°F), blood pressure 100/70 mm Hg, pulse 105/min, and respiratory rate 16/min. On physical examination, muscle strength in the lower extremities is 4/5 on the left and 5/5 on the right, along with sensory loss on the left, all of which is improved from his previous exam 3 weeks ago. There is a loss of the left half of the visual field bilaterally which is stable from the previous exam. Cardiac examination is significant for a new-onset irregular rate and rhythm. No rubs, thrills or murmurs. A noncontrast computed tomography (CT) scan shows evidence of an area of infarction in the vicinity of the right anterior cerebral artery showing normal interval change with no evidence of new hemorrhage or expansion of the area of infarction. An electrocardiogram (ECG) is performed, which is shown in the exhibit (see image below). Which of the following is the most appropriate intervention to best prevent future cerebrovascular accidents (CVAs) in this patient?
A. Begin aspirin therapy
B. Begin clopidogrel
C. Carotid endarterectomy
D. Begin warfarin and heparin
Choose the correct option.",d,0,True,d,604,14.307896599173546,14.307896599173546,3,3,,28.495712280273438
6,medqa,"An investigator is studying cellular regeneration of epithelial cells. She has obtained a tissue sample from a normal thyroid gland for histopathologic examination. It shows follicles lined by a single layer of cube-like cells with large central nuclei. Which of the following parts of the female reproductive tract is also lined by this type of epithelium?
A. Ovaries
B. Vagina
C. Fallopian tubes
D. Vulva
Choose the correct option.",a,0,True,a,961,22.465741001069546,22.465741001069546,3,3,,28.495712280273438
7,medqa,"A 4-year-old girl is brought to the emergency department with a persistent cough, fever, and vomiting. The past year the child has been admitted to the hospital 3 times with pneumonia. For the past 1 week, the child has been experiencing thick purulent cough and says that her chest feels ‘heavy’. Her stools have been loose and foul-smelling over the past week. Her parents are also concerned that she has not gained much weight due to her frequent hospital visits. She was born at 39 weeks gestation via spontaneous vaginal delivery and is up to date on all vaccines and is meeting all developmental milestones. On physical exam, the temperature is 39.1°C (102.4°F). She appears lethargic and uncomfortable. Crackles are heard in the lower lung bases, with dullness to percussion. A small nasal polyp is also present on inspection. Which of the following is the most likely cause for the girl’s symptoms?
A. Dysfunction in a transmembrane regulator
B. Inefficient breakdown of leucine, isoleucine, and valine
C. Dysfunction in the motility of respiratory cilia
D. Deficiency in lymphocytic activity
Choose the correct option.",a,0,True,a,1302,30.509470112621784,30.509470112621784,3,3,,28.495712280273438
8,medqa,"A 70-year-old woman is brought to the emergency department for the evaluation of abdominal pain, nausea, and vomiting for 1 day. Computed tomography shows a small bowel perforation. The patient is prepared for emergent exploratory laparotomy. She is sedated with midazolam, induced with propofol, intubated, and maintained on nitrous oxide and isoflurane for the duration of the surgery. A single perforation in the terminal ileum is diagnosed intraoperatively and successfully repaired. The patient is transferred to the intensive care unit. The ventilator is set at an FiO2 of 50%, tidal volume of 1000 mL, respiratory rate of 12/min, and positive end-expiratory pressure of 2.5 cm H2O. Her temperature is 37.3°C (99.1°F), pulse is 76/min, and blood pressure is 111/50 mm Hg. She is responsive to painful stimuli. Lung examination shows bilateral rales. Abdominal examination shows a distended abdomen and intact abdominal surgical incisions. The remainder of the physical examination shows no abnormalities. Arterial blood gas analysis shows:
pH 7.44
pO2 54 mm Hg
pCO2 31 mm Hg
HCO3- 22 mm Hg
Which of the following is the best next step in the management of this patient?""
A. Increase the FiO2
B. Increase the tidal volume
C. Increase PEEP
D. Increase the respiratory rate
Choose the correct option.",c,0,True,c,2000,46.91715917363763,46.91715917363763,3,3,,28.495712280273438
9,medqa,"A 47-year-old man with a history of HIV1 infection presents to his HIV clinic to discuss his antiretroviral medications. He is interested in including maraviroc in his maintenance regimen after seeing advertisements about the medication. On exam, his temperature is 98.8°F (37.1°C), blood pressure is 116/74 mmHg, pulse is 64/min, and respirations are 12/min. His viral load is undetectable on his current regimen, and his blood count, electrolytes, and liver function tests have all been within normal limits. In order to consider maraviroc for therapy, a tropism assay needs to be performed. Which of the following receptors is affected by the use of maraviroc?
A. gp120
B. gp160
C. p24
D. Reverse transcriptase
Choose the correct option.",a,0,True,a,3492,81.24145037308335,81.24145037308335,3,3,,28.495712280273438
